Id,Fecha,Importe,Usuario,Tasacion
87,2025-02-03,4344.44,Usuario15 Apellido15,87
88,2025-06-06,4606.34,Usuario17 Apellido17,88
89,2025-05-19,3123.89,Usuario5 Apellido5,89
90,2025-07-14,2747.89,Usuario4 Apellido4,90
91,2025-07-26,3509.47,Usuario7 Apellido7,91
92,2025-05-13,3000.27,Usuario18 Apellido18,92
93,2025-08-29,3104.59,Usuario13 Apellido13,93
94,2025-05-10,4752.15,Usuario1 Apellido1,94
95,2025-03-21,1718.98,Usuario19 Apellido19,95
96,2025-04-17,3552.99,Usuario18 Apellido18,96
97,2025-05-28,1231.40,Usuario15 Apellido15,97
98,2025-05-07,1309.14,Usuario2 Apellido2,98
99,2025-10-09,2990.75,Usuario1 Apellido1,99
100,2025-06-27,1048.05,Usuario17 Apellido17,100
101,2025-05-30,4053.85,Usuario11 Apellido11,101
102,2025-10-15,3374.40,Usuario13 Apellido13,102
103,2025-08-04,614.94,Usuario16 Apellido16,103
104,2025-03-30,1692.21,Usuario18 Apellido18,104
105,2025-04-18,3059.95,Usuario2 Apellido2,105
106,2025-09-20,3957.44,Usuario17 Apellido17,106
107,2025-03-15,2623.24,Usuario20 Apellido20,107
108,2025-05-23,2665.94,Usuario4 Apellido4,108
109,2025-10-29,2252.05,Usuario15 Apellido15,109
110,2025-09-08,3398.09,Usuario12 Apellido12,110
111,2025-04-20,3900.64,Usuario2 Apellido2,111
112,2025-03-30,3674.92,Usuario16 Apellido16,112
113,2025-07-08,3905.39,Usuario12 Apellido12,113
114,2025-08-29,978.78,Usuario9 Apellido9,114
115,2025-10-23,3953.54,Usuario10 Apellido10,115
116,2025-10-08,1663.02,Usuario14 Apellido14,116
117,2025-06-24,1867.54,Usuario8 Apellido8,117
118,2025-05-28,3772.67,Usuario7 Apellido7,118
119,2025-07-13,3611.09,Usuario14 Apellido14,119
120,2025-08-25,3148.59,Usuario20 Apellido20,120
121,2025-02-01,2640.60,Usuario10 Apellido10,121
122,2025-01-12,1048.79,Usuario13 Apellido13,122
123,2025-09-02,3827.87,Usuario17 Apellido17,123
124,2025-05-25,4713.49,Usuario1 Apellido1,124
125,2025-01-16,874.85,Usuario7 Apellido7,125
126,2025-10-15,4826.42,Usuario17 Apellido17,126
127,2025-08-22,1878.05,Usuario11 Apellido11,127
128,2025-01-25,4493.23,Usuario7 Apellido7,128
129,2025-06-05,1359.93,Usuario14 Apellido14,129
130,2025-09-04,1069.75,Usuario20 Apellido20,130
131,2025-04-13,3696.49,Usuario19 Apellido19,131
132,2025-06-19,1211.37,Usuario4 Apellido4,132
133,2025-05-20,4998.55,Usuario18 Apellido18,133
134,2025-03-04,1877.04,Usuario17 Apellido17,134
135,2025-10-17,1639.77,Usuario12 Apellido12,135
136,2025-09-05,4306.19,Usuario2 Apellido2,136
137,2025-09-28,3549.96,Usuario6 Apellido6,137
138,2025-05-12,1746.31,Usuario13 Apellido13,138
139,2025-05-12,2176.35,Usuario18 Apellido18,139
140,2025-07-13,1302.71,Usuario6 Apellido6,140
141,2025-10-07,1261.61,Usuario17 Apellido17,141
142,2025-05-06,3072.61,Usuario15 Apellido15,142
143,2025-04-01,3839.77,Usuario10 Apellido10,143
144,2025-07-24,2996.26,Usuario7 Apellido7,144
145,2025-07-29,3816.87,Usuario1 Apellido1,145
146,2025-09-04,1200.81,Usuario14 Apellido14,146
147,2025-01-20,2704.64,Usuario11 Apellido11,147
148,2025-03-22,3962.45,Usuario8 Apellido8,148
149,2025-05-05,2719.11,Usuario18 Apellido18,149
150,2025-01-14,3443.04,Usuario4 Apellido4,150
151,2025-01-28,1999.19,Usuario7 Apellido7,151
152,2025-10-15,3381.44,Usuario17 Apellido17,152
153,2025-01-28,2880.22,Usuario16 Apellido16,153
154,2025-04-21,3128.72,Usuario6 Apellido6,154
155,2025-03-20,3043.85,Usuario16 Apellido16,155
156,2025-05-31,3911.62,Usuario10 Apellido10,156
157,2025-10-27,938.60,Usuario16 Apellido16,157
158,2025-08-27,3425.65,Usuario13 Apellido13,158
159,2025-05-13,3550.08,Usuario6 Apellido6,159
160,2025-01-28,4159.42,Usuario13 Apellido13,160
161,2025-07-01,3866.42,Usuario17 Apellido17,161
162,2025-09-24,1364.06,Usuario17 Apellido17,162
163,2025-08-26,1023.16,Usuario6 Apellido6,163
164,2025-05-08,3698.95,Usuario2 Apellido2,164
165,2025-03-10,2500.49,Usuario20 Apellido20,165
166,2025-07-04,1358.24,Usuario15 Apellido15,166
167,2025-06-17,3212.16,Usuario16 Apellido16,167
168,2025-09-22,4477.93,Usuario12 Apellido12,168
169,2025-10-01,2489.77,Usuario2 Apellido2,169
170,2025-06-16,1928.76,Usuario19 Apellido19,170
171,2025-07-13,1102.11,Usuario5 Apellido5,171
172,2025-06-11,2912.02,Usuario9 Apellido9,172
173,2025-10-06,2435.01,Usuario6 Apellido6,173
174,2025-06-17,762.38,Usuario5 Apellido5,174
175,2025-08-07,2620.63,Usuario16 Apellido16,175
176,2025-03-20,4080.26,Usuario20 Apellido20,176
177,2025-06-28,1805.38,Usuario6 Apellido6,177
178,2025-04-19,4988.90,Usuario14 Apellido14,178
179,2025-07-10,3749.91,Usuario13 Apellido13,179
180,2025-09-21,548.96,Usuario2 Apellido2,180
181,2025-07-14,4532.76,Usuario2 Apellido2,181
182,2025-04-27,890.96,Usuario1 Apellido1,182
183,2025-08-01,525.56,Usuario11 Apellido11,183
184,2025-06-24,2255.96,Usuario4 Apellido4,184
185,2025-10-02,1297.26,Usuario12 Apellido12,185
186,2025-04-14,2771.51,Usuario11 Apellido11,186
187,2025-09-01,957.99,Usuario7 Apellido7,187
188,2025-09-24,2420.39,Usuario13 Apellido13,188
189,2025-06-01,4050.92,Usuario17 Apellido17,189
190,2025-04-23,3551.38,Usuario14 Apellido14,190
191,2025-02-28,518.33,Usuario5 Apellido5,191
192,2025-04-23,2371.17,Usuario16 Apellido16,192
193,2025-09-29,2173.61,Usuario20 Apellido20,193
194,2025-05-21,1923.57,Usuario7 Apellido7,194
195,2025-08-21,4036.25,Usuario13 Apellido13,195
196,2025-02-04,3858.76,Usuario6 Apellido6,196
197,2025-07-09,1599.17,Usuario17 Apellido17,197
198,2025-01-23,3544.52,Usuario5 Apellido5,198
199,2025-03-26,2356.02,Usuario16 Apellido16,199
200,2025-04-19,2076.38,Usuario20 Apellido20,200
201,2025-01-24,2830.04,Usuario8 Apellido8,201
202,2025-05-09,4312.60,Usuario5 Apellido5,202
203,2025-10-13,3152.29,Usuario14 Apellido14,203
204,2025-09-06,1315.02,Usuario8 Apellido8,204
205,2025-04-08,568.01,Usuario18 Apellido18,205
206,2025-02-27,4197.47,Usuario16 Apellido16,206
207,2025-06-07,2736.11,Usuario2 Apellido2,207
208,2025-01-09,3123.10,Usuario16 Apellido16,208
209,2025-08-10,2972.18,Usuario11 Apellido11,209
210,2025-10-27,3520.97,Usuario20 Apellido20,210
211,2025-09-12,4014.14,Usuario4 Apellido4,211
212,2025-06-20,2547.48,Usuario7 Apellido7,212
213,2025-01-11,1131.39,Usuario17 Apellido17,213
214,2025-09-25,521.16,Usuario9 Apellido9,214
215,2025-06-21,2692.05,Usuario8 Apellido8,215
216,2025-04-15,4832.19,Usuario2 Apellido2,216
217,2025-03-21,4197.81,Usuario15 Apellido15,217
218,2025-04-29,2797.27,Usuario7 Apellido7,218
219,2025-10-17,2634.52,Usuario11 Apellido11,219
220,2025-10-22,4160.95,Usuario4 Apellido4,220
221,2025-08-22,4260.37,Usuario14 Apellido14,221
222,2025-06-15,666.20,Usuario15 Apellido15,222
223,2025-05-30,2808.56,Usuario16 Apellido16,223
224,2025-01-26,1126.95,Usuario9 Apellido9,224
225,2025-06-13,4833.89,Usuario1 Apellido1,225
226,2025-09-27,4451.65,Usuario13 Apellido13,226
227,2025-04-13,2818.51,Usuario16 Apellido16,227
228,2025-07-30,509.31,Usuario8 Apellido8,228
229,2025-10-11,4335.80,Usuario4 Apellido4,229
230,2025-01-28,2967.40,Usuario13 Apellido13,230
231,2025-08-07,972.24,Usuario17 Apellido17,231
232,2025-08-28,3170.67,Usuario12 Apellido12,232
233,2025-09-05,3370.06,Usuario18 Apellido18,233
234,2025-05-06,4215.89,Usuario6 Apellido6,234
235,2025-04-10,695.85,Usuario18 Apellido18,235
236,2025-07-04,2505.59,Usuario11 Apellido11,236
237,2025-05-06,927.00,Usuario6 Apellido6,237
238,2025-09-25,2222.57,Usuario13 Apellido13,238
239,2025-10-05,3404.49,Usuario10 Apellido10,239
240,2025-06-12,2500.53,Usuario8 Apellido8,240
241,2025-07-24,2161.30,Usuario15 Apellido15,241
242,2025-08-12,870.02,Usuario16 Apellido16,242
243,2025-06-02,2136.00,Usuario1 Apellido1,243
244,2025-10-30,1414.91,Usuario15 Apellido15,244
245,2025-06-10,1681.06,Usuario20 Apellido20,245
246,2025-08-15,2624.68,Usuario9 Apellido9,246
247,2025-07-24,1351.54,Usuario1 Apellido1,247
248,2025-02-03,1544.85,Usuario7 Apellido7,248
249,2025-02-08,4363.78,Usuario15 Apellido15,249
250,2025-06-18,3924.29,Usuario17 Apellido17,250
251,2025-07-01,1817.75,Usuario4 Apellido4,251
252,2025-05-31,2920.74,Usuario8 Apellido8,252
253,2025-10-13,3372.33,Usuario7 Apellido7,253
254,2025-07-21,2466.83,Usuario9 Apellido9,254
255,2025-07-30,2066.83,Usuario10 Apellido10,255
256,2025-06-27,714.46,Usuario17 Apellido17,256
257,2025-06-23,3019.92,Usuario7 Apellido7,257
258,2025-01-21,3182.80,Usuario16 Apellido16,258
259,2025-03-11,1297.07,Usuario16 Apellido16,259
260,2025-04-25,4305.35,Usuario1 Apellido1,260
261,2025-02-08,1732.79,Usuario17 Apellido17,261
262,2025-05-18,3618.77,Usuario17 Apellido17,262
263,2025-03-16,4658.49,Usuario4 Apellido4,263
264,2025-07-29,1107.20,Usuario15 Apellido15,264
265,2025-08-05,1649.53,Usuario3 Apellido3,265
266,2025-10-31,2273.55,Usuario17 Apellido17,266
267,2025-01-15,3337.37,Usuario9 Apellido9,267
268,2025-08-13,2414.08,Usuario9 Apellido9,268
269,2025-09-16,731.00,Usuario6 Apellido6,269
270,2025-07-22,2212.39,Usuario17 Apellido17,270
271,2025-03-12,720.20,Usuario14 Apellido14,271
272,2025-08-01,1450.77,Usuario18 Apellido18,272
273,2025-04-07,2728.69,Usuario18 Apellido18,273
274,2025-09-21,4214.11,Usuario11 Apellido11,274
275,2025-01-04,1007.18,Usuario13 Apellido13,275
276,2025-06-26,4873.71,Usuario13 Apellido13,276
277,2025-08-05,3047.60,Usuario5 Apellido5,277
278,2025-08-05,1975.33,Usuario17 Apellido17,278
279,2025-10-21,4509.90,Usuario9 Apellido9,279
280,2025-10-01,3026.65,Usuario4 Apellido4,280
281,2025-07-10,1987.84,Usuario14 Apellido14,281
282,2025-08-03,2858.45,Usuario20 Apellido20,282
283,2025-01-27,3607.10,Usuario11 Apellido11,283
284,2025-06-28,3029.98,Usuario9 Apellido9,284
285,2025-07-20,3713.37,Usuario12 Apellido12,285
286,2025-10-03,1650.71,Usuario7 Apellido7,286
287,2025-09-11,4092.05,Usuario14 Apellido14,287
288,2025-04-13,869.00,Usuario15 Apellido15,288
289,2025-07-01,585.09,Usuario13 Apellido13,289
290,2025-05-10,3121.42,Usuario15 Apellido15,290
291,2025-07-02,1857.84,Usuario20 Apellido20,291
292,2025-01-23,3504.37,Usuario12 Apellido12,292
293,2025-09-17,761.82,Usuario4 Apellido4,293
294,2025-08-06,4186.33,Usuario20 Apellido20,294
295,2025-02-27,2307.53,Usuario10 Apellido10,295
296,2025-04-26,3657.69,Usuario17 Apellido17,296
297,2025-03-26,1310.20,Usuario20 Apellido20,297
298,2025-08-28,3740.72,Usuario13 Apellido13,298
299,2025-01-20,1145.09,Usuario6 Apellido6,299
300,2025-08-01,4220.54,Usuario6 Apellido6,300
301,2025-07-22,942.50,Usuario12 Apellido12,301
302,2025-02-18,590.19,Usuario4 Apellido4,302
303,2025-06-15,3715.71,Usuario4 Apellido4,303
304,2025-04-21,621.95,Usuario14 Apellido14,304
305,2025-09-24,1888.28,Usuario15 Apellido15,305
306,2025-06-16,1200.63,Usuario20 Apellido20,306
307,2025-05-11,3922.93,Usuario12 Apellido12,307
308,2025-08-01,2476.39,Usuario18 Apellido18,308
309,2025-07-01,4963.44,Usuario4 Apellido4,309
310,2025-08-13,3695.07,Usuario20 Apellido20,310
311,2025-06-10,4974.21,Usuario17 Apellido17,311
312,2025-10-06,1678.62,Usuario11 Apellido11,312
313,2025-04-23,1263.62,Usuario17 Apellido17,313
314,2025-05-20,3378.36,Usuario12 Apellido12,314
315,2025-08-16,4879.32,Usuario3 Apellido3,315
316,2025-10-03,3029.24,Usuario20 Apellido20,316
317,2025-08-14,3574.13,Usuario15 Apellido15,317
318,2025-05-22,737.94,Usuario14 Apellido14,318
319,2025-09-17,2599.68,Usuario2 Apellido2,319
320,2025-05-07,2409.26,Usuario14 Apellido14,320
321,2025-05-10,4255.37,Usuario18 Apellido18,321
322,2025-01-20,2345.00,Usuario10 Apellido10,322
323,2025-07-11,1043.60,Usuario20 Apellido20,323
324,2025-09-04,3454.33,Usuario9 Apellido9,324
325,2025-07-12,4599.22,Usuario12 Apellido12,325
326,2025-06-01,4199.51,Usuario11 Apellido11,326
327,2025-01-03,2686.46,Usuario14 Apellido14,327
328,2025-07-05,4216.82,Usuario10 Apellido10,328
329,2025-04-07,1178.60,Usuario9 Apellido9,329
330,2025-04-17,962.87,Usuario20 Apellido20,330
331,2025-02-11,2977.21,Usuario4 Apellido4,331
332,2025-09-29,2578.06,Usuario7 Apellido7,332
333,2025-08-23,2898.92,Usuario18 Apellido18,333
334,2025-07-21,4771.85,Usuario2 Apellido2,334
335,2025-08-04,2581.42,Usuario18 Apellido18,335
336,2025-09-01,683.77,Usuario20 Apellido20,336
337,2025-03-17,1527.15,Usuario18 Apellido18,337
338,2025-09-27,1822.57,Usuario19 Apellido19,338
339,2025-06-29,739.02,Usuario17 Apellido17,339
340,2025-09-15,1098.24,Usuario1 Apellido1,340
341,2025-07-26,2591.73,Usuario18 Apellido18,341
342,2025-02-06,3302.46,Usuario9 Apellido9,342
343,2025-08-12,1760.72,Usuario3 Apellido3,343
344,2025-10-17,1615.87,Usuario14 Apellido14,344
345,2025-01-07,3356.24,Usuario8 Apellido8,345
346,2025-07-21,922.15,Usuario19 Apellido19,346
347,2025-09-02,4255.70,Usuario15 Apellido15,347
348,2025-04-09,3282.08,Usuario14 Apellido14,348
349,2025-03-23,1973.63,Usuario1 Apellido1,349
350,2025-05-25,3032.70,Usuario13 Apellido13,350
351,2025-02-20,1975.49,Usuario16 Apellido16,351
352,2025-07-04,3883.97,Usuario19 Apellido19,352
353,2025-04-17,3536.17,Usuario7 Apellido7,353
354,2025-02-24,4223.86,Usuario9 Apellido9,354
355,2025-04-26,4611.63,Usuario1 Apellido1,355
356,2025-03-31,1432.22,Usuario2 Apellido2,356
357,2025-02-13,1866.15,Usuario6 Apellido6,357
358,2025-08-20,4873.42,Usuario11 Apellido11,358
359,2025-03-02,2996.30,Usuario10 Apellido10,359
360,2025-07-21,3722.72,Usuario14 Apellido14,360
361,2025-02-02,2325.80,Usuario17 Apellido17,361
362,2025-05-13,1548.80,Usuario15 Apellido15,362
363,2025-10-04,4173.20,Usuario12 Apellido12,363
364,2025-09-11,1231.32,Usuario9 Apellido9,364
365,2025-02-07,3892.54,Usuario16 Apellido16,365
366,2025-06-10,2615.67,Usuario12 Apellido12,366
367,2025-08-19,4614.66,Usuario9 Apellido9,367
368,2025-04-17,1163.97,Usuario8 Apellido8,368
369,2025-04-09,4139.40,Usuario7 Apellido7,369
370,2025-06-30,2373.11,Usuario16 Apellido16,370
371,2025-01-11,2547.78,Usuario20 Apellido20,371
372,2025-03-02,3931.89,Usuario13 Apellido13,372
373,2025-08-22,4470.72,Usuario18 Apellido18,373
374,2025-01-18,934.84,Usuario7 Apellido7,374
375,2025-10-28,892.64,Usuario17 Apellido17,375
376,2025-06-27,3839.53,Usuario14 Apellido14,376
377,2025-05-27,2541.25,Usuario10 Apellido10,377
378,2025-05-30,3370.97,Usuario9 Apellido9,378
379,2025-05-28,2385.65,Usuario9 Apellido9,379
380,2025-08-18,4943.08,Usuario12 Apellido12,380
381,2025-01-25,4225.37,Usuario13 Apellido13,381
382,2025-02-06,3954.73,Usuario20 Apellido20,382
383,2025-05-18,3090.04,Usuario14 Apellido14,383
384,2025-09-10,1357.94,Usuario17 Apellido17,384
385,2025-09-19,3710.39,Usuario6 Apellido6,385
386,2025-09-16,973.68,Usuario1 Apellido1,386
387,2025-01-27,3100.38,Usuario17 Apellido17,387
388,2025-06-17,3688.40,Usuario5 Apellido5,388
389,2025-04-30,3131.45,Usuario20 Apellido20,389
390,2025-03-11,2183.40,Usuario7 Apellido7,390
391,2025-04-02,4530.18,Usuario1 Apellido1,391
392,2025-04-12,4159.76,Usuario5 Apellido5,392
393,2025-07-13,3897.05,Usuario17 Apellido17,393
394,2025-07-02,609.93,Usuario19 Apellido19,394
395,2025-03-15,4843.96,Usuario8 Apellido8,395
396,2025-02-22,1879.16,Usuario17 Apellido17,396
397,2025-06-12,4300.12,Usuario13 Apellido13,397
398,2025-01-22,2237.95,Usuario7 Apellido7,398
399,2025-04-10,3584.08,Usuario20 Apellido20,399
400,2025-06-09,4858.02,Usuario13 Apellido13,400
401,2025-10-24,1639.12,Usuario20 Apellido20,1
402,2025-09-29,2776.69,Usuario17 Apellido17,2
403,2025-10-11,3368.06,Usuario12 Apellido12,3
404,2025-08-11,4840.70,Usuario6 Apellido6,4
405,2025-09-03,4029.91,Usuario20 Apellido20,5
406,2025-09-12,4341.80,Usuario6 Apellido6,6
407,2025-03-08,1452.01,Usuario13 Apellido13,7
408,2025-09-01,1288.51,Usuario12 Apellido12,8
409,2025-07-17,761.65,Usuario19 Apellido19,9
410,2025-06-25,4672.16,Usuario7 Apellido7,10
411,2025-07-18,3395.93,Usuario14 Apellido14,11
412,2025-01-27,1086.90,Usuario3 Apellido3,12
413,2025-02-28,1828.62,Usuario17 Apellido17,13
414,2025-02-03,4584.18,Usuario3 Apellido3,14
415,2025-10-19,4246.46,Usuario19 Apellido19,15
416,2025-04-28,4073.07,Usuario19 Apellido19,16
417,2025-01-19,823.82,Usuario8 Apellido8,17
418,2025-04-08,3427.75,Usuario16 Apellido16,18
419,2025-10-08,604.48,Usuario1 Apellido1,19
420,2025-10-22,2424.75,Usuario6 Apellido6,20
421,2025-06-15,1923.34,Usuario17 Apellido17,21
422,2025-10-30,1822.00,Usuario5 Apellido5,22
423,2025-02-15,1281.56,Usuario11 Apellido11,23
424,2025-01-09,3540.92,Usuario15 Apellido15,24
425,2025-05-22,3352.26,Usuario9 Apellido9,25
426,2025-10-20,2502.04,Usuario1 Apellido1,26
427,2025-07-26,2618.56,Usuario18 Apellido18,27
428,2025-08-11,4565.18,Usuario4 Apellido4,28
429,2025-06-29,2312.48,Usuario4 Apellido4,29
430,2025-06-26,1781.52,Usuario14 Apellido14,30
431,2025-04-09,4481.44,Usuario11 Apellido11,31
432,2025-04-01,1556.59,Usuario8 Apellido8,32
433,2025-09-12,3921.32,Usuario9 Apellido9,33
434,2025-01-07,1559.92,Usuario16 Apellido16,34
435,2025-02-18,4181.70,Usuario19 Apellido19,35
436,2025-02-08,2648.61,Usuario7 Apellido7,36
437,2025-07-02,3010.24,Usuario3 Apellido3,37
438,2025-07-14,2206.44,Usuario16 Apellido16,38
439,2025-07-18,2466.88,Usuario2 Apellido2,39
440,2025-09-11,2971.48,Usuario1 Apellido1,40
441,2025-10-26,3112.34,Usuario2 Apellido2,41
442,2025-08-25,1703.61,Usuario16 Apellido16,42
443,2025-08-02,4838.95,Usuario5 Apellido5,43
444,2025-02-12,4102.33,Usuario12 Apellido12,44
445,2025-08-30,4972.28,Usuario2 Apellido2,45
446,2025-07-06,1942.94,Usuario6 Apellido6,46
447,2025-07-03,1747.48,Usuario16 Apellido16,47
448,2025-10-30,4785.16,Usuario9 Apellido9,48
449,2025-10-13,3510.15,Usuario20 Apellido20,49
450,2025-01-11,2766.55,Usuario2 Apellido2,50
451,2025-02-28,3242.15,Usuario8 Apellido8,51
452,2025-05-25,2276.43,Usuario5 Apellido5,52
453,2025-09-16,1807.60,Usuario15 Apellido15,53
454,2025-06-22,3415.79,Usuario19 Apellido19,54
455,2025-02-06,1936.56,Usuario6 Apellido6,55
456,2025-07-18,4043.07,Usuario13 Apellido13,56
457,2025-09-16,1449.37,Usuario3 Apellido3,57
458,2025-11-02,4039.61,Usuario20 Apellido20,58
459,2025-08-28,2265.36,Usuario5 Apellido5,59
460,2025-05-01,2270.15,Usuario12 Apellido12,60
461,2025-01-10,1119.29,Usuario20 Apellido20,61
462,2025-01-15,2403.53,Usuario1 Apellido1,62
463,2025-10-01,2165.37,Usuario1 Apellido1,63
464,2025-03-02,4524.21,Usuario3 Apellido3,64
465,2025-04-13,4973.67,Usuario17 Apellido17,65
466,2025-05-02,3281.07,Usuario5 Apellido5,66
467,2025-08-21,4585.43,Usuario12 Apellido12,67
468,2025-02-26,2827.58,Usuario7 Apellido7,68
469,2025-01-20,1976.25,Usuario16 Apellido16,69
470,2025-06-23,646.88,Usuario3 Apellido3,70
471,2025-10-08,1231.00,Usuario5 Apellido5,71
472,2025-10-25,819.71,Usuario8 Apellido8,72
473,2025-08-29,2003.01,Usuario1 Apellido1,73
474,2025-05-10,2562.38,Usuario12 Apellido12,74
475,2025-10-02,2638.83,Usuario12 Apellido12,75
476,2025-04-22,3522.58,Usuario11 Apellido11,76
477,2025-08-23,910.47,Usuario18 Apellido18,77
478,2025-10-23,3619.65,Usuario12 Apellido12,78
479,2025-02-26,3743.66,Usuario15 Apellido15,79
480,2025-04-07,908.50,Usuario14 Apellido14,80
481,2025-07-05,805.44,Usuario19 Apellido19,81
482,2025-08-08,1832.73,Usuario3 Apellido3,82
483,2025-08-08,1828.91,Usuario4 Apellido4,83
484,2025-08-26,3008.51,Usuario9 Apellido9,84
485,2025-08-12,2807.06,Usuario4 Apellido4,85
486,2025-08-05,822.39,Usuario10 Apellido10,86
487,2025-02-02,4344.44,Usuario15 Apellido15,87
488,2025-06-05,4606.34,Usuario17 Apellido17,88
489,2025-05-14,3123.89,Usuario5 Apellido5,89
490,2025-07-13,2747.89,Usuario4 Apellido4,90
491,2025-07-28,3509.47,Usuario7 Apellido7,91
492,2025-05-13,3000.27,Usuario18 Apellido18,92
493,2025-08-30,3104.59,Usuario13 Apellido13,93
494,2025-05-12,4752.15,Usuario1 Apellido1,94
495,2025-03-20,1718.98,Usuario19 Apellido19,95
496,2025-04-13,3552.99,Usuario18 Apellido18,96
497,2025-05-27,1231.40,Usuario15 Apellido15,97
498,2025-05-05,1309.14,Usuario2 Apellido2,98
499,2025-10-14,2990.75,Usuario1 Apellido1,99
500,2025-06-28,1048.05,Usuario17 Apellido17,100
